Инструкция;РЗА;Объект;Дата ввода в действие;Дата пересмотра;ЦДС;ОДС;ПС 330;ВГЭС;ВГРЭС;ВСРЭС;БРЭС;ШРЭС;РРЭС;ЛРЭС;ГРЭС
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ 1-2с-10кВ;СВВ-10 кВ № 1, 2;110кВ Чепино;31.05.2018;17.05.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ 3 и 4с 10кВ;СВВ-10 кВ № 3, 4;110кВ Чепино;03.10.2018;03.10.2022;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ линий 10кВ с ВВ-10кВ 3 и 4с 10кВ;ВЛ-10кВ 3 и 4с;110кВ Чепино;03.10.2018;03.10.2022;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации аппаратуры ТН-10кВ 3 и 4с-10кВ, дуговой защиты, АЧР и электромагнитной блокировки 3 и 4с-10кВ;ТН-10 кВ, ЗДЗ, АЧР и ЭМБ 3, 4 с;110кВ Чепино;03.10.2018;03.10.2022;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т1;Т1, ВЛ-35 кВ на Городок;110кВ Чепино;15.07.2015;26.06.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т2;Т2;110кВ Чепино;15.07.2015;26.06.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации защиты от дуговых замыканий, логической защиты шин и устройства резервирования отказа выключателя 3 и 4с 10кВ;ЗДЗ,ЛЗШ,УРОВ 3, 4 с-10 кВ;110кВ Чепино;26.06.2019;26.06.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ Чепино;08.08.2019;08.08.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройства регулирования напряжения трансформатора Т1 Т2 10мВА;АРН Т1,Т2;110кВ Чепино;10.10.2019;10.10.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки разъединителей;Электромагнитной блокировки;110кВ Чепино;04.11.2020;04.11.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации индикатора ИМФ ВЛ-35кВ Чепино-Городок;ИМФ ВЛ-35 кВ на Городок;110кВ Чепино;09.11.2020;09.11.2024;0;1;0;0;0;0;0;0;0;0;0
"Инструкция по работе на ПЭВМ ПТК ""Сириус"" при отыскании однофазного замыкания на землю при помощи УЗГ";УЗГ-УЗГК;110кВ Чепино;11.01.2021;11.01.2025;0;1;0;0;1;0;0;0;0;0;0
Инструкция по эксплуатации РЗАИ линий 10кВ, защиты от дуговых замыканий, ТН-10кВ 1 и 2с 10кВ, АЧР 1-4с 10кВ;ВЛ-10, ЗДЗ,ТН,АЧР 1-4с;110кВ Чепино;03.02.2021;03.02.2025;1;1;0;0;0;0;0;0;0;0;0
"Инструкция по компенсации емкостных токов замыкания на ""землю"" в сети 10 кВ";ДГК;110кВ Чепино;19.02.2021;19.02.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗАИ ЩСН;ЩСН;110кВ Чепино;02.03.2021;02.03.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки;Электромагнитной блокировки;110кВ Шумилино;04.11.2021;04.11.2025;0;1;0;0;0;0;0;1;0;0;0
"Инструкция по эксплуатации устройств релейной защиты, управления и сигнализации 
ВЭ-110кв ВЛ-110кв на Витебскую ТЭЦ";ВЛ-110 кВ на Витебскую ТЭЦ;110кВ Шумилино;04.11.2021;04.11.2025;0;1;0;0;0;0;0;1;0;0;0
"Инструкция по работе с цифровым регистратором электрических процессов ""ПАРМА"" и универсальной программой просмотра, анализа и печати данных TRANSKOP для определения мест повреждений на ВЛ-110кВ";Аварийного регистратора;110кВ Шумилино;10.11.2021;10.11.2025;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ Шумилино-Мясокомбинат;ВЛ-110 кВ на Мясокомбинат;110кВ Шумилино;10.04.2018;15.03.2026;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ Шумилино-Плиговка;ВЛ-110 кВ на Плиговку;110кВ Шумилино;22.10.2021;22.10.2025;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-35кВ, ВЛ-35кВ на Мишневичи, Бешенковичи, Ловжу и ТН-35кВ;СВВ-35 кВ, ВЛ-35 кВ на Ловжу и на Мишневичи, Бешенковичи, ТН-35кВ;110кВ Шумилино;07.08.2018;07.08.2022;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации СОВЭ-110кВ;СОВЭ-110 кВ;110кВ Шумилино;28.02.2019;22.02.2023;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств ЦС;Центральной сигнализации;110кВ Шумилино;21.08.2019;21.08.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения трансформаторов Т-1 и Т-2;АРН Т1, Т2;110кВ Шумилино;21.08.2019;17.09.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации защит, сигнализации и автоматики ЩСН;ЩСН;110кВ Шумилино;29.10.2019;29.10.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации трансформатора Т-1 и Т-2;Т-1, Т-2;110кВ Шумилино;14.11.2019;14.11.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации дифференциальной защиты шин 110кВ;ДЗШ-110 кВ;110кВ Шумилино;19.02.2020;19.02.2024;1;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации УРОВ-110кВ;УРОВ-110 кВ 1 и 2 с-110 кВ;110кВ Шумилино;19.02.2020;19.02.2024;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации АЧР и аппаратуры ТН-35кВ 1(2) с 35кВ;ТН-35кВ 1(2) с 35кВ;110кВ Шумилино;05.03.2020;05.03.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗА отходящих линий 10кВ, СМВ-10кВ, ТН-10кВ 1,2с., ЗДЗ 1,2с 10кВ;Отходящей линии 10 кВ, СМВ-10кВ, ТН-10кВ, ЗДЗ-10кВ;110кВ Шумилино;12.03.2020;12.03.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств определения места повреждения в сети 110кВ;ПУМА1100 на Мясокомбинат, на Плиговку, на Вит.ТЭЦ;110кВ Шумилино;08.11.2016;03.11.2024;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации ЦС (в ОПУ-2);ОПУ-2;110кВ Шумилино;04.11.2020;04.11.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации системы постоянного оперативного тока;ЩПТ, схема распределения, ВАЗП-1, 2;110кВ Шумилино;06.01.2017;17.12.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации ТН-110кВ;ТН-110 кВ 1 и 2 с-110 кВ, ОСШ;110кВ Шумилино;19.02.2021;19.02.2025;1;1;0;0;0;0;0;1;0;0;0
"Инструкция по компенсации емкостных токов замыкания на ""землю"" в сети 10 кВ";Автоматика ДГК-10 кВ;110кВ Шумилино;19.02.2021;19.02.2025;0;1;0;0;0;0;0;1;0;0;0
"Инструкция по эксплуатации системы отбора и утилизации тепла от АТ-2 для отопления помещений ПС 330кВ ""Витебская""";Отбор тепла от АТ-2;330кВ Витебская;18.02.2019;18.02.2023;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА ЗРУ-10кВ;ВЛ-10кВ, ТН-10 кВ, СВВ-10кВ, АВР-10кВ, АЧР-АПВЧ;330кВ Витебская;09.02.2017;02.12.2025;0;1;1;0;0;1;0;0;0;0;0
Инструкция по отысканию повреждения в цепях оперативного тока;САПФИР;330кВ Витебская;02.04.2018;31.03.2026;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-330кВ №348 на Лукомльскую ГРЭС;ВЛ-348;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации аварийных регистраторов №1 и №2;Аварийные регистраторы №1 и 2;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации защит от асинхронного хода;САПАХ ВЛ-349, ЗАХ-5Ц;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации подменного комплекта дистанционной защиты ДЗ-503 ВЛ-330кВ;ДЗ-503 (подменный комплект);330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ШСВЭ-110кВ;ШСВЭ-110 кВ;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ на БелГРЭС;ВЛ-110 кВ на БелГРЭС;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ №1 на Витебск-Северную;ВЛ-110 кВ № 1 на Витебск-Северную;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ №2 на Витебск-Северную;ВЛ-110 кВ №2 на Витебск-Северную;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ на Лиозно;ВЛ-110 кВ на Лиозно;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств противоаварийной автоматики (ДА-1, ДА-2, ДА-3);ДА-1, ДА-2, ДА-3;330кВ Витебская;19.12.2017;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗАИ щита собственных нужд;ЩСН;330кВ Витебская;19.12.2017;02.12.2025;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации статических выпрямительных устройств СВУ-220-80-УХЛ4;СВУ-1,2;330кВ Витебская;19.12.2017;02.12.2025;0;0;1;0;0;0;0;0;0;0;0
"Инструкция по функциональной задаче КТС АРМ ""Автоматический контроль исправности цепей оперативной блокировки""";"Функ.задача КТС АРМ ДПС ""Авт.контроль испр.ОБ""";330кВ Витебская;19.12.2017;02.12.2025;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройства ОАПВ ВЛ-330кВ №349 на Талашкино;АПВ-503 ВЛ-349;330кВ Витебская;19.12.2017;09.12.2025;1;0;1;0;0;0;0;0;0;0;0
"Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-330кВ №349 на ""Талашкино""";ВЛ-349;330кВ Витебская;25.02..2015;02.12.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по проверке ВЧ канала ДФЗ-504 ВЛ-349;ВЧ канал;330кВ Витебская;18.02.2019;18.02.2023;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации вторичных цепей напряжения ТН-330кВ;ТН-330 кВ сборки ВЛ-348, 349, 1и2 СШ;330кВ Витебская;08.05.2018;18.04.2026;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РПН АТ-1, АТ-2, АТ-3;РПН, АРН АТ-1, 2, 3;330кВ Витебская;10.07.2018;10.07.2022;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации вторичных цепей напряжения ТН-110кВ;ТН-110 кВ 1 и 2 СШ-110 кВ;330кВ Витебская;08.11.2018;08.11.2022;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации АНКА приемника 120 кГц ВЛ-349;АНКА приемник 120 кГц ВЛ-349;330кВ Витебская;18.02.2019;18.02.2023;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА группы автотрансформаторов №1,2    330/110/10кВ;АТ-1,2;330кВ Витебская;18.02.2019;18.02.2023;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации системы охлаждения АТ-1, АТ-2;ШАОТ АТ-1,2;330кВ Витебская;18.02.2019;18.02.2023;0;0;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА автотрансформатора №3 330/110/10кВ;АТ-3;330кВ Витебская;18.02.2019;18.02.2023;1;0;1;0;0;0;0;0;0;0;0
Инструкция по проверке ВЧ канала ДФЗ-504 ВЛ-349;ВЧ канал ДФЗ-504 ВЛ-349;330кВ Витебская;18.02.2019;18.02.2023;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации утстройств РЗА, управления и сигнализации ВЛ-110кВ на Журжево;ВЛ-110кВ на Журжево;330кВ Витебская;29.04.2022;29.04.2026;1;0;1;0;0;0;0;0;0;0;0
"Инструкция по функциональной задаче КТС АРМ ДПС ""Контроль напряжения нулевой последовательности ТН"",  ""Контроль токов небаланса дифзащит""";"Функ.задача КТС АРМ ДПС ""Контроли ННП,ИОТ,ТНДиф.защит""";330кВ Витебская;18.03.2019;18.03.2023;0;0;1;0;0;0;0;0;0;0;0
"Инструкция по функциональной задаче КТС АРМ  ""Автоматическое регулирование напряжения на шинах 110кВ""";"Функ.задача КТС АРМ ""АРН на шинах 110кВ""";330кВ Витебская;18.03.2019;18.03.2023;0;0;1;0;0;0;0;0;0;0;0
"Инструкция по функциональной задаче КТС АРМ ""Автоматическое управление охлаждением АТ-1,2,3""";"Функ.задача КТС АРМ ""автомат.управл.охлажд.АТ-1,2,3""";330кВ Витебская;18.03.2019;18.03.2023;0;0;1;0;0;0;0;0;0;0;0
Инструкция по предупреждению и тушению пожаров, по эксплуатации устройств и системы пожаротушения АТ-3;Пожаротушение АТ-3;330кВ Витебская;12.08.2019;12.08.2023;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации ВЛ-110кВ на Верховье;ВЛ-110 кВ на Верховье;330кВ Витебская;14.03.2022;14.03.2026;1;0;1;0;0;0;0;0;0;0;0
"Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ на ""Лучёсу""";ВЛ-110кВ на Лучёсу;330кВ Витебская;03.08.2020;03.08.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации аварийного регистратора №3;Аварийный регистратор №3;330кВ Витебская;03.08.2020;03.08.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗА, управления и сигнализации ОВЭ-110кВ;ОВЭ-110 кВ, ТН-110 кВ ОСШ-110 кВ;330кВ Витебская;04.08.2020;04.08.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ на Мошканы;ВЛ-110 кВ на Мошканы;330кВ Витебская;14.08.2020;14.08.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройства передачи команд  ПА АК «Тритон» на РК «Северная» на ПС 330кВ «Витебская»;"""Тритон""";330кВ Витебская;16.10.2020;16.10.2024;1;1;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации ВЛ-110кВ на Рубу;ВЛ-110 кВ на Рубу;330кВ Витебская;09.12.2020;09.12.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗА и сигнализации ВЛ-110 кВ на Вит. ГЭС;ВЛ-110кВ на Вит. ГЭС;330кВ Витебская;11.12.2020;11.12.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации фиксирующих приборов ЛИФП, ПУМА, ФПТ ВЛ 10кВ-330кВ;ЛИФП, ПУМА, ФПТ.;330кВ Витебская;22.12.2020;22.12.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации УРОВ-110кВ;УРОВ-110 кВ 1 и 2 с-110 кВ;330кВ Витебская;22.12.2020;22.12.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации дифференциальной токовой защиты шин 110 кВ с фиксированным распределением элементов;ДЗШ-110 кВ 1 и 2 с-110 кВ;330кВ Витебская;22.12.2020;22.12.2024;1;0;1;0;0;0;0;0;0;0;0
Инструкция по проверке в/ч канала ВЧБ ВЛ-110кВ на Лучесу;ВЧ канал ВЧБ ВЛ-110кВ Лучеса-ПС 330кВ Витебская;330кВ Витебская;11.02.2021;11.02.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗА КЛ-10кВ №771 и №800;КЛ-771, КЛ-800;330кВ Витебская;10.03.2021;10.03.2025;0;0;1;0;0;1;0;0;0;0;0
Инструкция по эксплуатации автоматики прекращения асинхронного хода ВЛ-110кВ на Лиозно;АПАХ ВЛ-110 кВ на Лиозно;330кВ Витебская;12.03.2021;12.03.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации системы охлаждения АТ-3 200 МВА;ШАОТ АТ-3;330кВ Витебская;12.03.2021;12.03.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗАИ и сигнализации щита постоянного тока;ЩПТ;330кВ Витебская;15.03.2021;15.03.2025;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации выпрямленного оперативного тока;выпрямленный оперативный ток;330кВ Витебская;15.03.2021;15.03.2025;0;0;1;0;0;0;0;0;0;0;0
Инструкция по проверке в/ч канала ВЧБ ВЛ-110кВ на В.ТЭЦ;ВЧБ ВЛ-110кВ  на ВитТЭЦ;330кВ Витебская;17.03.2021;17.03.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по проверке в/ч канала ВЧБ ВЛ-110кВ на БелГРЭС;ВЧБ ВЛ-110кВ на БелГРЭС;330кВ Витебская;17.03.2021;17.03.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по проверке в/ч канала ВЧБ ВЛ-110кВ на Мошканы;ВЧБ ВЛ-110кВ на Мошканы;330кВ Витебская;17.03.2021;17.03.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройства РПН ВДТ АТ-2 и АТ-3;РПН, АРН (ВДТ) АТ-2, АТ-3;330кВ Витебская;12.04.2021;12.04.2025;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации УРОВ-330кВ ВЛ-349;УРОВ-330кВ;330кВ Витебская;15.04.2021;15.04.2025;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации дифференциальной защиты ошиновки 330кВ;ДЗО 1 и 2 СШ-330 кВ;330кВ Витебская;15.04.2021;15.04.2025;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;330кВ Витебская;15.04.2021;15.04.2025;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации САОН АСБС;САОН;330кВ Витебская;27.05.2022;27.05.2026;1;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств синхронизации;Синхронизация;330кВ Витебская;15.04.2021;15.04.2025;0;0;1;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ;СВВ-10 кВ;35кВ Аэропорт;14.01.2019;14.01.2023;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ отходящих линий 10кВ;Отходящей линии 10 кВ;35кВ Аэропорт;23.10.2015;16.10.2023;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформаторов Т1 и Т2, ВЛ-35кВ, СМВ-35кВ, ТН-10кВ, ЦС, АВР-35кВ, опертока;Т1,Т2, СМВ-35 кВ, АВР-10-35, ВЛ-35 кВ на Стасево и Технологическую, ТН-10кВ, ЦС, СН, оперток;35кВ Аэропорт;07.06.2021;07.06.2025;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1,2, АВР-10кВ, отходящей линии 10кВ, ТСН, СВВ-10кВ, СМВ-35кВ, ТН-10кВ, РПН Т1,2, ЦС, ФИП;35кВ Бабиновичи;25.11.2019;25.11.2023;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗАИ;Т1,Т2,ВЛ-35 кВ на Чашники,Бешенковичи,Котовщину,СМВ-35 кВ,АВР-35 кВ,ТН-35,ВЛ-10,СВВ-10,ТН-10,ЗДЗ,СН,ЦС;35кВ Бочейково;24.10.2019;24.10.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств определения мест повреждения в сети 10кВ;ТПФ ПУМА 2300;35кВ Бочейково;07.07.2021;07.07.2025;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики и сигнализации;Т1,Т2,СМВ-35,ТН-35,СВВ-10,ВЛ-10,ТН-10,ЦС,ШУ,СН,МВ-35 на Дуброво;35кВ Бычиха;16.02.2021;16.02.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации.;Т1,СМВ-35,ВЛ-10,ВЛ-35,ШОП,ТН-10,ТН-35,ФИП ПУМА,ЦС;35кВ Веляшковичи;12.07.2019;12.07.2023;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗА;Т1, ЦС, ТН-10кВ, СН, оперток,        ВЛ-10 кВ, ВЛ-35 кВ;35кВ Глушица;13.01.2021;13.01.2025;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1, ВЛ-10кВ, ТН-10кВ, оперток, ТСН, ЦС, ОМП;35кВ Горяне;26.08.2020;26.08.2024;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ;Т-1,МВ-35кВ,ТТ-35кВ,МВ-10кВ;35кВ Дрюково;24.03.2022;24.03.2026;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1,Т2,СМВ-35,ТН-35,АВР 35,ВЛ-10,СМВ-10,ТН-10,СН,ШУ,ЦС;35кВ Езерище;11.01.2021;11.01.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ;Т1, Т2, РПН Т2, ВЛ-10кВ, СМВ-10кВ, СМВ-35кВ, ТН-10кВ, ТН-35кВ, оперток, центральная сигнализация;35кВ Ключегорская;16.02.2021;16.02.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ;Т-1, СВВ-35кВ, ТН-35кВ, ВЛ-10кВ, ТН-10кВ, оперток, ЩСН, ЦС, ЗДЗ 1с 10кВ;35кВ Курино;16.10.2015;24.09.2023;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1, Т2, РПН Т1, СМВ-35кВ, ТН-35кВ 2с, СВВ-10кВ, АВР-10кВ, ВЛ-10кВ,ТН-10кВ, СН, оперток, ЦС;35кВ Ловжа;03.12.2019;03.12.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации;Т1, РПН Т1,ТН-10кВ, ВЛ-10кВ, ЦС, СН, оперток,АРН Т-1;35кВ Любичи;09.09.2021;09.09.2025;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации транслятора параметров фиксирующего (ТПФ) ПУМА-2300;ОМП на ВЛ-10кВ;35кВ Любичи;09.07.2019;09.07.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1,ВЛ10,ТН-10,ЦС,СН;35кВ Межа;15.09.2021;15.09.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации;МВ-10кВ, Т-2, МВ-35кВ,ТТ-10кВ, ОБР;35кВ Мишневичи;23.07.2021;23.07.2025;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1, СМВ-35 кВ, ТН-10 кВ, ВЛ-10кВ, ЦС, опертока;35кВ Новоселки;04.05.2021;04.05.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации транслятора параметров фиксипующего (ТПФ) ПУМА-2300;ФИП-10кВ;35кВ Осётки;09.07.2019;09.07.2023;0;1;0;0;0;1;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1,РПН Т-1,ВЛ-10,оперток,ТН-10,ТН-35,ЦС,МВ-35 Руба-Сураж;35кВ Осетки;02.03.2021;02.03.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1,Т2,ВЛ-10кВ,ТН-10кВ,ТН-35кВ,ТСН,ЦС;35кВ Прудок;07.07.2021;07.07.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации электромагнитной блокировки разъединителей;Электромагнитная блокировка;35кВ Прудок;19.04.2019;19.04.2023;0;1;0;0;0;0;0;0;0;0;1
